"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Betboo","2","Feb-24","Metin7474","0","62","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Casinoaff","0","6,123","17","8","8","€ 554.49","€ 514.07"
"Betboo","2","Feb-24","bonusgrup","0","0","0","0","0","-€ 0.06","€ 0.00"
"Betboo","2","Feb-24","Adv_014","0","325","12","6","6","€ 2,596.92","€ 779.08"
"Betboo","2","Feb-24","AnastasiaPC","0","0","0","0","0","-€ 8.20","€ 0.00"
"Betboo","2","Feb-24","Socialtournaments","0","10","1","0","0","€ 5.94","€ 1.78"
"Betboo","2","Feb-24","Taras","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Ceylanmarketing","0","0","0","0","0","-€ 0.03","€ 0.00"
"Betboo","2","Feb-24","JamesHarden","0","0","0","0","0","€ 0.01","€ 0.00"
"Betboo","2","Feb-24","Cafercasino","0","5","0","0","0","€ 0.05","€ 0.02"
"Betboo","2","Feb-24","TSquad","0","22,424","889","211","211","€ 38,038.47","€ 11,290.00"
"Betboo","2","Feb-24","lcbonus","0","10","2","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","RekorX","0","151","5","2","2","€ 324.70","€ 97.41"
"Betboo","2","Feb-24","Jiletadmin","0","79","9","2","2","€ 4,309.50","€ 1,292.85"
"Betboo","2","Feb-24","Sinnercasino","0","0","0","0","0","€ 61.11","€ 15.28"
"Betboo","2","Feb-24","rosierbey","0","3","0","0","0","-€ 0.05","€ 0.00"
"Betboo","2","Feb-24","Elis11","0","7","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","aphex","0","158","5","0","0","€ 3.04","€ 0.91"
"Betboo","2","Feb-24","Adtogame","0","100","21","10","10","€ 50.15","€ 450.00"
"Betboo","2","Feb-24","Affstream","0","290","4","17","17","€ 6,370.17","€ 990.00"
"Betboo","2","Feb-24","casinoax","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","slotuzmani9","0","32","1","0","0","€ 246.79","€ 74.04"
"Betboo","2","Feb-24","mwilson","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Big17win","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","lschulz","0","5","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Nuri","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","adv_017","0","721","43","5","5","€ 156.61","€ 46.98"
"Betboo","2","Feb-24","ask-affiliates","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Adv_019","0","213","12","9","9","-€ 62.44","€ 0.00"
"Betboo","2","Feb-24","Adv_020","0","8","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","goldtufan","0","0","0","3","3","€ 350.08","€ 0.00"
"Betboo","2","Feb-24","KenesisDiRaskreia","0","25","0","0","0","€ 2.40","€ 0.71"
"Betboo","2","Feb-24","bonussms","0","668","80","8","8","€ 923.53","€ 277.06"
"Betboo","2","Feb-24","bonuslarburada","0","20","2","1","1","€ 33.00","€ 9.90"
"Betboo","2","Feb-24","Blacklion","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","21stGold","0","50","0","0","0","€ 54.82","€ 0.00"
"Betboo","2","Feb-24","DATeam","0","4","0","0","0","€ 1,397.86","€ 0.00"
"Betboo","2","Feb-24","ntylr1","0","561","4","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","ftdmedia","0","6","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Pepperpartners1","0","8","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","OnePLtd","0","1,202","186","40","41","€ 1,308.53","€ 1,845.00"
"Betboo","2","Feb-24","odinmice","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","ckecasino","0","21","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","affiliateuzmani09","0","9","0","2","2","-€ 185.26","€ 33.02"
"Betboo","2","Feb-24","Freespinlerburada","0","4","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","CTPRCK45","0","417","19","5","5","€ 127.44","€ 38.23"
"Betboo","2","Feb-24","bahsinrehberi","0","5,915","256","31","31","-€ 343.14","€ 0.00"
"Betboo","2","Feb-24","sequivincere","0","497","58","7","7","€ 170.81","€ 51.24"
"Betboo","2","Feb-24","elsspatonn","0","7","1","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","casinobetlive","0","19","1","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","Thelimitedclub","0","168","4","0","0","€ 0.06","€ 0.00"
"Betboo","2","Feb-24","Yusuf7676","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","KenMaster","0","464","10","1","1","-€ 104.16","€ 0.00"
"Betboo","2","Feb-24","Ali4242","0","97","10","1","1","€ 32.10","€ 9.63"
"Betboo","2","Feb-24","Gorkem284","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","sezer455aa","0","18","2","0","0","€ 14.24","€ 4.27"
"Betboo","2","Feb-24","babalar01","0","143","8","4","4","€ 717.85","€ 215.36"
"Betboo","2","Feb-24","ClickIDMedia","0","131","9","0","0","€ 0.00","€ 0.00"
"Betboo","2","Feb-24","AlienBettor35","0","7","0","0","0","€ 0.00","€ 0.00"
